player_id,player_name,player_display_name,position,position_group,recent_team,total_fantasy_points,total_fantasy_points_ppr
00-0037506,C.Fotheringham,Cole Fotheringham,TE,TE,LV,0.60,1.60
00-0034437,L.Cooke,Logan Cooke,P,SPEC,JAX,0.52,0.52
00-0036620,D.Eskridge,Dee Eskridge,WR,WR,SEA,0.50,0.50
00-0035889,T.Townsend,Tommy Townsend,P,SPEC,KC,0.44,0.44
00-0033863,D.Skipper,Dan Skipper,T,OL,DET,0.4,1.4
00-0035562,J.Horsted,Jesper Horsted,TE,TE,LV,0.40,1.40
00-0036727,A.Prentice,Adam Prentice,FB,RB,NO,0.3999999999999999,2.40
00-0032394,N.Vannett,Nick Vannett,TE,TE,LAC,0.30,1.30
00-0036187,R.Gilliam,Reggie Gilliam,FB,RB,BUF,0.30,1.30
00-0038632,C.Dowell,Colton Dowell,WR,WR,TEN,0.30,1.30
00-0036329,A.Davis,Ashtyn Davis,SS,DB,NYJ,0.30000000000000004,0.30000000000000004
00-0035956,G.Ricci,Giovanni Ricci,TE,TE,CAR,0.20,1.20
00-0037420,K.Lassiter,Kwamie Lassiter,WR,WR,CIN,0.20,1.20
00-0038627,A.Green,Antoine Green,WR,WR,DET,0.20,1.20
00-0034490,E.Turner,Ezekiel Turner,ILB,LB,ARI,0.2,0.2
00-0035632,A.Hooker,Amani Hooker,FS,DB,TEN,0.2,0.2
00-0036888,D.Hamlin,Damar Hamlin,SS,DB,BUF,0.2,0.2
00-0032217,D.Smith,Donovan Smith,T,OL,KC,0,1
00-0034171,J.Cabinda,Jason Cabinda,FB,RB,DET,0.00,1.00
00-0035831,J.Robinson,James Robinson,RB,RB,GB,0.00,1.00
00-0036132,B.Bredeson,Ben Bredeson,G,OL,NYG,0,1
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,NYJ,0.00,0.00
00-0030140,T.Way,Tress Way,P,SPEC,WAS,0,0
00-0031868,D.Byrd,Damiere Byrd,WR,WR,ATL,0.00,0.00
00-0032208,P.Dorsett,Phillip Dorsett,WR,WR,DEN,0.00,0.00
00-0035527,A.Isabella,Andy Isabella,WR,WR,BUF,0.00,0.00
00-0035593,J.Winfree,Juwann Winfree,WR,WR,IND,0.00,0.00
00-0035594,T.Homer,Travis Homer,RB,RB,CHI,0.00,0.00
00-0035806,J.Hasty,JaMycal Hasty,RB,RB,JAX,0.00,0.00
00-0036032,S.McKeon,Sean McKeon,TE,TE,DAL,0.00,0.00
00-0036133,J.Proche,James Proche,WR,WR,CLE,0.00,0.00
00-0036423,A.Okwuegbunam,Albert Okwuegbunam,TE,TE,PHI,0.00,0.00
00-0036648,N.Niemann,Nick Niemann,ILB,LB,LAC,0,0
00-0036991,A.Rodgers,Amari Rodgers,WR,WR,IND,0.00,0.00
00-0037156,I.Charles,Irvin Charles,WR,WR,NYJ,0.00,0.00
00-0037451,R.Williams,Rod Williams,TE,TE,PIT,0.00,0.00
00-0038490,T.Zentner,Ty Zentner,P,SPEC,TEN,0,0
00-0038678,J.Mims,Jordan Mims,RB,RB,NO,0.00,0.00
00-0038891,S.Jackson,Shedrick Jackson,WR,WR,CIN,0.00,0.00
00-0038911,M.Cunningham,Malik Cunningham,WR,WR,NE,0.00,0.00
00-0036928,K.Trask,Kyle Trask,QB,QB,TB,-0.10,-0.10
00-0031237,T.Bridgewater,Teddy Bridgewater,QB,QB,DET,-0.20,-0.20
00-0032975,J.Williams,Jonathan Williams,RB,RB,WAS,-0.20,-0.20
00-0033292,T.Taylor,Trent Taylor,WR,WR,CHI,-0.20,-0.20
00-0030533,M.Barkley,Matt Barkley,QB,QB,JAX,-0.30,-0.30
00-0034438,L.Woodside,Logan Woodside,QB,QB,ATL,-0.32,-0.32
00-0033958,N.Peterman,Nathan Peterman,QB,QB,CHI,-0.40,-0.40
00-0036493,D.Jackson,Deon Jackson,RB,RB,IND,-1.00,4.00
00-0034575,D.Wells,David Wells,TE,TE,TB,-1.00,1.00
00-0034577,K.Allen,Kyle Allen,QB,QB,BUF,-1.30,-1.30
00-0033729,C.Johnston,Cameron Johnston,P,SPEC,HOU,-2.3,-2.3
00-0028872,J.Hekker,Johnny Hekker,P,SPEC,CAR,-2.82,-2.82
00-0037607,R.Stonehouse,Ryan Stonehouse,P,SPEC,TEN,-3.1,-3.1
